number_of_rooms,district,structure_type,year_of_construction,floor,area,quality,price
3.0,2,1,1996.0,1.0,72.0,3,55000000.0
2.0,2,2,2020.0,9.0,43.4,3,38500000.0
3.0,6,2,2020.0,5.0,90.0,3,50000000.0
4.0,3,2,2015.0,5.0,109.3,3,78000000.0
1.0,2,2,2018.0,3.0,45.0,3,36500000.0
1.0,2,2,2023.0,4.0,56.19,4,26465490.0
1.0,4,2,2008.0,6.0,40.0,2,17800000.0
4.0,5,2,2018.0,3.0,155.0,3,172000000.0
2.0,2,3,1989.0,2.0,60.0,3,43999000.0
1.0,1,2,2010.0,15.0,54.5,3,31000000.0
2.0,6,2,2022.0,10.0,53.0,3,27500000.0
2.0,6,2,2022.0,3.0,65.0,3,31500000.0
2.0,5,1,1975.0,2.0,45.0,3,42500000.0
1.0,4,3,1986.0,5.0,33.0,3,22499000.0
1.0,2,3,1985.0,1.0,21.0,2,12900000.0
1.0,0,2,2017.0,2.0,41.0,1,24300000.0
2.0,2,3,1993.0,9.0,57.0,3,37000000.0
3.0,4,2,2011.0,6.0,76.2,3,30600000.0
1.0,2,2,2023.0,3.0,33.0,4,21500000.0
2.0,1,2,2019.0,12.0,69.0,3,75000000.0
2.0,1,3,1985.0,3.0,60.0,3,44000000.0
2.0,5,2,2021.0,1.0,60.0,3,35000000.0
3.0,2,3,1995.0,7.0,75.9,3,54000000.0
5.0,1,2,2000.0,5.0,300.0,3,177000000.0
2.0,6,2,2011.0,4.0,105.0,3,36000000.0
4.0,6,3,1987.0,1.0,86.6,3,41500000.0
2.0,7,2,2021.0,5.0,54.0,3,34500000.0
2.0,5,2,2023.0,6.0,58.7,1,26500000.0
2.0,0,2,2014.0,1.0,64.0,1,28500000.0
1.0,1,3,1982.0,2.0,31.3,3,21500000.0
2.0,1,2,2014.0,8.0,71.8,3,45500000.0
1.0,0,2,2020.0,1.0,45.1,3,25500000.0
3.0,6,1,2022.0,2.0,92.0,3,78000000.0
1.0,7,2,2022.0,9.0,41.0,4,22500000.0
3.0,1,3,1975.0,7.0,77.0,3,65000000.0
3.0,6,2,2021.0,1.0,76.0,3,37500000.0
1.0,6,2,2023.0,1.0,45.0,0,21000000.0
2.0,0,2,2023.0,4.0,72.5,4,33300000.0
2.0,1,0,2023.0,2.0,70.2,4,45000000.0
1.0,6,2,2012.0,8.0,64.2,3,28000000.0
2.0,0,2,2010.0,6.0,62.0,3,40000000.0
3.0,1,2,2019.0,13.0,70.0,3,55000000.0
2.0,6,2,2012.0,13.0,92.0,3,31500000.0
1.0,1,3,1978.0,2.0,32.0,1,30550000.0
1.0,4,2,2023.0,6.0,50.0,4,33000000.0
3.0,7,2,2022.0,1.0,51.7,3,33499990.0
3.0,5,2,2018.0,3.0,185.0,3,157250000.0
3.0,5,1,1990.0,2.0,73.0,3,78700000.0
3.0,3,2,2015.0,2.0,104.0,1,89000000.0
1.0,2,2,2020.0,6.0,47.0,3,32000000.0
2.0,2,2,2016.0,13.0,80.9,3,63000000.0
1.0,6,2,2012.0,14.0,64.0,3,25490000.0
2.0,6,2,2023.0,7.0,61.0,3,34500000.0
3.0,6,2,2013.0,3.0,87.9,4,45000000.0
3.0,3,2,2022.0,3.0,139.0,0,96000000.0
2.0,0,1,2010.0,1.0,70.0,3,36500000.0
