,title,rating,review_count,price,publishing_house,binding,number_of_pages,paper_type,language,release_date,height,width,illustrated,thickness
0,Станция Лихо,5.0,2.0,2841,Росмэн,твердый переплет,304.0,оффсетная,русский,2022.0,215.0,140.0,нет,22.596082241301403
1,Самоучитель по рисованию акварелью,5.0,19.0,2639,Эксмо,твердый переплет,80.0,оффсетная,русский,2010.0,263.0,202.0,нет,12.0
2,Хроники Нарнии. Все истории Нарнии в 7 повестях,5.0,102.0,4135,Эксмо,твердый переплет,912.0,оффсетная,русский,2017.0,219.0,145.0,нет,40.0
3,48 законов власти,4.7,64.0,1990,РИПОЛ классик,мягкая обложка,304.0,оффсетная,русский,2023.0,180.0,115.0,нет,13.0
4,Самостоятельный ребенок или как стать «ленивой мамой»,4.8,91.0,2080,Эксмо,твердый переплет,272.0,оффсетная,русский,2016.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
5,Правила по русскому языку: Начальная школа,5.0,64.0,978,Вако,мягкая обложка,96.0,оффсетная,русский,2016.0,235.0,165.0,нет,4.0
6,Простые рецепты при повышенном и пониженном давлении. Мифы и реальность,5.0,3.0,1554,Диля,мягкая обложка,224.0,газетная,русский,2021.0,200.0,126.0,нет,9.0
7,Волки Кальи. Из цикла «Темная Башня»,5.0,5.0,2823,Астрель,твердый переплет,768.0,газетная,русский,2022.0,210.0,135.0,нет,55.0
8,Палата №6,5.0,1.0,1950,Эксмо,мягкая обложка,320.0,пухлая,русский,2022.0,199.0,130.0,нет,18.0
9,Маленькая хозяйка Большого дома,4.6,32.0,1145,АСТ,мягкая обложка,384.0,оффсетная,русский,2016.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
10,Рапунцель,4.7,15.0,2999,АСТ,твердый переплет,608.0,типографская,русский,2021.0,208.49660407510987,144.30630990415335,нет,22.596082241301403
11,Книги-шпаргалки набор для начальной школы,5.0,3.0,1019,Буква-Ленд,мягкая обложка,8.0,оффсетная,русский,2018.0,170.0,120.0,нет,4.0
12,Важные годы. Почему не стоит откладывать жизнь на потом,4.8,38.0,1658,"Манн, Иванов и Фербер",мягкая обложка,320.0,оффсетная,русский,2022.0,185.0,125.0,нет,25.0
