,title,rating,review_count,price,Издательство,ISBN,Переплет,Количество страниц,Бумага,Язык,Дата выхода,Высота издания,Ширина издания,Код товара,Unnamed: 14,Тираж,Иллюстрированная,Формат книги,Толщина издания,Производитель,Артикул,Количество листов,Формат,Крепление,Обложка,Отделка обложки,Плотность,Страна-производитель,Размер (Д×Ш×В),Упаковка,Год,Учебный период,Предметы,Бренд,Серия,Цвет,Материал,Типы материалов,Пол,Дополнительная информация,Количество в наборе,Возраст,Размер упаковки (Д×Ш×В),Торговая марка,Вид,Особенности,Продолжительность игры,Количество игроков,Комплектация,Вид лампы,Количество режимов,Световая температура,Световой поток,Мощность,Патрон,Тип питания,Разъёмы,Длина кабеля,Гарантия,Unnamed: 17,Цоколь
0,Станция Лихо,5.0,2.0,2841,Росмэн,978-5-353-10172-7,твердый переплет,304.0,офсетная,русский,2022.0,215 мм,140 мм,2504432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Самоучитель по рисованию акварелью,5.0,19.0,2639,Эксмо,978-5-699-18797-3,твердый переплет,80.0,,русский,2010.0,263 мм,202 мм,193972,,4000 экземпляров,нет,84x108/16,12 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Хроники Нарнии. Все истории Нарнии в 7 повестях,5.0,102.0,4135,Эксмо,978-5-699-92300-7,твердый переплет,912.0,офсетная,русский,2017.0,219 мм,145 мм,818721,,,нет,60x90/16,40 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,48 законов власти,4.7,64.0,1990,РИПОЛ классик,978-5-386-13556-0,мягкая обложка,304.0,,русский,2023.0,180 мм,115 мм,1612572,,,нет,76x100/32,13 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Самостоятельный ребенок или как стать «ленивой мамой»,4.8,91.0,2080,Эксмо,978-5-699-88268-7,твердый переплет,272.0,,русский,2016.0,,,677688,,7000 экземпляров,нет,60x84/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Правила по русскому языку: Начальная школа,5.0,64.0,978,Вако,"978-5-408-02574-9, 978-5-408-01848-2, 978-5-408-00746-2, 978-5-408-00015-9",мягкая обложка,96.0,,русский,2016.0,235 мм,165 мм,125882,,15000 экземпляров,нет,70x100/16,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Простые рецепты при повышенном и пониженном давлении. Мифы и реальность,5.0,3.0,1554,Диля,"978-5-4236-0307-6, 9785423603076",мягкая обложка,224.0,газетная,русский,2021.0,200 мм,126 мм,670657,,3000 экземпляров,нет,84x108/32,9 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Волки Кальи. Из цикла «Темная Башня»,5.0,5.0,2823,Астрель,978-5-271-46181-1,твердый переплет,768.0,газетная,русский,2022.0,210 мм,135 мм,307309,,,,84×108/32,55 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Палата №6,5.0,1.0,1950,Эксмо,978-5-04-173977-5,мягкая обложка,320.0,"офсетная, пухлая",русский,2022.0,199 мм,130 мм,2609310,,5000 экземпляров,,84×108/32,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Маленькая хозяйка Большого дома,4.6,32.0,1145,АСТ,978-5-17-100401-9,мягкая обложка,384.0,офсетная,русский,2016.0,,,795400,,7000 экземпляров,нет,76x100/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Рапунцель,4.7,15.0,2999,АСТ,978-5-17-134937-0,твердый переплет,608.0,типографская,русский,2021.0,,,1892889,,5000 экземпляров,нет,84x108/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Книги-шпаргалки набор для начальной школы,5.0,3.0,1019,Буква-Ленд,6900032708742,мягкая обложка,8.0,,русский,2018.0,170 мм,120 мм,1728518,,,нет,,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Важные годы. Почему не стоит откладывать жизнь на потом,4.8,38.0,1658,"Манн, Иванов и Фербер",978-5-00195-761-4,мягкая обложка,320.0,,русский,2022.0,185 мм,125 мм,2227562,,,нет,84x108/32,25 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Книга для записи кулинарных рецептов «Вкусы Италии»,4.0,1.0,1092,,,,,офсетная,,,,,2548127,,,,,,Феникс +,61563,96 листов,A5,ниткошвейный,мелованная бумага,матовая ламинация,65 г/м²,Россия,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Скрюченный домишко,5.0,6.0,1430,Эксмо,978-5-04-109150-7,мягкая обложка,320.0,газетная,русский,2020.0,165 мм,113 мм,1779544,,3000 экземпляров,нет,70x100/32,20 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Бремя любви,5.0,1.0,1319,Эксмо,978-5-04-123213-9,мягкая обложка,288.0,газетная,русский,2021.0,166 мм,111 мм,2149681,,3000 экземпляров,нет,70x100/32,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Путь в Подсознание. Как познать себя и ощутить радость жизни,,,3125,АСТ,978-5-17-159052-9,твердый переплет,288.0,"офсетная, пухлая",русский,2023.0,227 мм,157 мм,3072649,,,,60x90/16,30 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Пир стервятников,4.8,4.0,3344,АСТ,978-5-17-113864-6,твердый переплет,768.0,газетная,русский,2021.0,206 мм,129 мм,1330444,,7000 экземпляров,нет,84x108/32,34 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Сок сельдерея. Природный эликсир энергии и здоровья,5.0,7.0,3763,Эксмо,978-5-04-105040-5,суперобложка,368.0,офсетная,русский,2019.0,200 мм,138 мм,1497712,,,нет,60x84/16,24 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
